package	version	architecture	source	package_url	size	sha256	requested_by
syslinux-common	3:6.04~git20190206.bf6db5b4+dfsg1-3ubuntu3	all	Ubuntu:noble:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/s/syslinux/syslinux-common_6.04%7egit20190206.bf6db5b4%2bdfsg1-3ubuntu3_all.deb	1260896	0861814acc911f788b65689ae59509bafaf20098e68e25de87a2a27ecc3d3169	apt-closure
tar	1.35+dfsg-3ubuntu0.4	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/t/tar/tar_1.35%2bdfsg-3ubuntu0.4_amd64.deb	256392	fdf41a87936824e50c8ac11b0b22d1395aeb0754feef2dae5575b5d5a93793ec	apt-closure
tcpdump	4.99.4-3ubuntu4.24.04.1	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/t/tcpdump/tcpdump_4.99.4-3ubuntu4.24.04.1_amd64.deb	478824	6333724c69b1078759fa3c5914d7d0369fdfb6aab21694b038d1685c4c09772e	apt-closure
tesseract-ocr	5.3.4-1build5	amd64	Ubuntu:noble:universe:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/universe/t/tesseract/tesseract-ocr_5.3.4-1build5_amd64.deb	327852	2dfac382d77215aee0c3de4a2a2205505d5f2195e72e79b54ad32154fc08da77	apt-closure
tesseract-ocr-eng	1:4.1.0-2	all	Ubuntu:noble:universe:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/universe/t/tesseract-lang/tesseract-ocr-eng_4.1.0-2_all.deb	1818236	b1996b3113c78663f4dd16cf18aa1f288b07e9624f8d4a0ddbd7d9b52a234ba7	apt-closure
tesseract-ocr-osd	1:4.1.0-2	all	Ubuntu:noble:universe:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/universe/t/tesseract-lang/tesseract-ocr-osd_4.1.0-2_all.deb	3840642	a266496b3268134493808c1595c9d16ac92c7e1c28e3e0bf46fdb322df95ca68	apt-closure
texlive-fonts-recommended	2023.20240207-1	all	Ubuntu:noble:universe:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/universe/t/texlive-base/texlive-fonts-recommended_2023.20240207-1_all.deb	4972740	350ff2efe82e901158ef589530473c8c838fd19a75aa793da5b53d81ec41de80	apt-closure
texlive-latex-base	2023.20240207-1	all	Ubuntu:noble:universe:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/universe/t/texlive-base/texlive-latex-base_2023.20240207-1_all.deb	1238032	abab46588cb0071216b440e2f7b1daaba57d768b1e8974e42c0b5a12f1c7b1d0	apt-closure
texlive-latex-recommended	2023.20240207-1	all	Ubuntu:noble:universe:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/universe/t/texlive-base/texlive-latex-recommended_2023.20240207-1_all.deb	8825924	5dfb6d1082e5eba3a6f7fcc6f0e10c9864fceb4491abbb69d3a9480b908ae75c	apt-closure
tshark	4.2.2-1.1build3	amd64	Ubuntu:noble:universe:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/universe/w/wireshark/tshark_4.2.2-1.1build3_amd64.deb	157810	e06fb38458c5a06a395fd78c7c24ead0f06c792422be265fa542352c5062d91b	apt-closure
umoci	0.4.7+ds-4ubuntu0.24.04.3	amd64	Ubuntu:noble-updates:universe:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/universe/u/umoci/umoci_0.4.7%2bds-4ubuntu0.24.04.3_amd64.deb	2203364	3e943ee618a610c8fec181c7f2aa06f149e5292dfe73b70bf64901db744a776d	apt-closure
unzip	6.0-28ubuntu4.1	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/u/unzip/unzip_6.0-28ubuntu4.1_amd64.deb	174454	a505b9d491386167bd8e14e3383315a4a7d6539e4406745901ccf009a7988271	apt-closure
util-linux	2.39.3-9ubuntu6.5	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/u/util-linux/util-linux_2.39.3-9ubuntu6.5_amd64.deb	1128360	cae0b213f10847576c3315fa02c89dcc7a70db88bffbd36e3f3b42e76a4eb62f	apt-closure
valgrind	1:3.22.0-0ubuntu3	amd64	Ubuntu:noble:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/v/valgrind/valgrind_3.22.0-0ubuntu3_amd64.deb	14911212	744e081e5cf3d5c598b499dbb7d2250ea3f2869dde4a4d7b231fe6114f347d7d	apt-closure
virtinst	1:4.1.0-3ubuntu0.1	all	Ubuntu:noble-updates:universe:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/universe/v/virt-manager/virtinst_4.1.0-3ubuntu0.1_all.deb	891002	fd367bea83819c6b139e2c72f9802ad5454c55dfd31f2e1e240a6280091e4d73	apt-closure
wget	1.21.4-1ubuntu4.4	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/w/wget/wget_1.21.4-1ubuntu4.4_amd64.deb	334040	34798adea0d00d28fa8dd88faf3b51c778d1e67de180db383fa484b555a7c2a5	apt-closure
wireguard-tools	1.0.20210914-1ubuntu4	amd64	Ubuntu:noble:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/w/wireguard/wireguard-tools_1.0.20210914-1ubuntu4_amd64.deb	89106	19790a3203a12791bfaf622ea000780a7558de858766100d52f802079d44c400	apt-closure
wireshark-common	4.2.2-1.1build3	amd64	Ubuntu:noble:universe:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/universe/w/wireshark/wireshark-common_4.2.2-1.1build3_amd64.deb	587396	623209e428a87cd348e4299d0fc60204e7081667288c0620edf8b6d3f76c3729	apt-closure
xorriso	1:1.5.6-1.1ubuntu3	amd64	Ubuntu:noble:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/libi/libisoburn/xorriso_1.5.6-1.1ubuntu3_amd64.deb	297344	7a0644fc4bc269d22ce8d27bd39e14b5849b532097265161938a9b216468f84d	apt-closure
xz-utils	5.6.1+really5.4.5-1ubuntu0.3	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/x/xz-utils/xz-utils_5.6.1%2breally5.4.5-1ubuntu0.3_amd64.deb	267424	778edae086bc8f34d80f36f301bc8fb3eff2d906c146dfb533ea6840b6d64e00	apt-closure
yt-dlp	2024.04.09-1	all	Ubuntu:noble:universe:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/universe/y/yt-dlp/yt-dlp_2024.04.09-1_all.deb	1838652	3e0309a5471d62d7bf4318779203eb7412bc7b7c83bf207f123ee8b23ba2460b	apt-closure
zip	3.0-13ubuntu0.2	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/z/zip/zip_3.0-13ubuntu0.2_amd64.deb	175652	30b325b542ef8e9a22a5e1e1cfce8c4f4b75db73e339e76bf405b635861f1f76	apt-closure
zstd	1.5.5+dfsg2-2build1.1	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/libz/libzstd/zstd_1.5.5%2bdfsg2-2build1.1_amd64.deb	644020	d7667f83e3a2caeaaecaca464d542ee6ccf537259a479622796c84afc96d6032	apt-closure
