package	version	architecture	source	package_url	size	sha256	requested_by
libcap-ng0	0.8.4-2build2	amd64	Ubuntu:noble:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/libc/libcap-ng/libcap-ng0_0.8.4-2build2_amd64.deb	15180	cf1e9437ac7ddf6539dbe87b68858cbdef84d78c6aac243ab3b6e564a52ed930	apt-closure
libcap2	1:2.66-5ubuntu2.4	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/libc/libcap2/libcap2_2.66-5ubuntu2.4_amd64.deb	30500	23c627c77c66552a658e62852f244f4946dc543898e0ec5428d5dc6bffde2d6a	apt-closure
libcap2-bin	1:2.66-5ubuntu2.4	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/libc/libcap2/libcap2-bin_2.66-5ubuntu2.4_amd64.deb	34134	a8c875e1711a7a101e995814e6500c826cb658551660ef967ec15fbda79a3997	apt-closure
libcom-err2	1.47.0-2.4~exp1ubuntu4.1	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/e/e2fsprogs/libcom-err2_1.47.0-2.4%7eexp1ubuntu4.1_amd64.deb	22982	7ab24d3057dabf86db8f771ad6e43f073ed86b6b950d6e8ba22cb9fe6707bbc9	apt-closure
libcrypt1	1:4.4.36-4build1	amd64	Ubuntu:noble:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/libx/libxcrypt/libcrypt1_4.4.36-4build1_amd64.deb	82302	9474785cd6f398512bf8c305c3901dbb111569dccb6f5832002373c0a8ac5832	apt-closure
libcryptsetup12	2:2.7.0-1ubuntu4.2	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/c/cryptsetup/libcryptsetup12_2.7.0-1ubuntu4.2_amd64.deb	266122	f6f6a7f35104da711997b52c92ab91ce1f47dd039d276d5beb797d713447c9f2	apt-closure
libcurl3t64-gnutls	8.5.0-2ubuntu10.11	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/c/curl/libcurl3t64-gnutls_8.5.0-2ubuntu10.11_amd64.deb	334446	cab375675d3bbb5ac9feb191842ce1236e3233fe7a50ddfe8959826cb913f61d	apt-closure
libcurl4t64	8.5.0-2ubuntu10.11	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/c/curl/libcurl4t64_8.5.0-2ubuntu10.11_amd64.deb	342150	91d3520fc68d1af309ea6bd47b12b04b1b45bcb5bdee9533639c7b534fa1f744	apt-closure
libdaxctl1	77-2ubuntu2	amd64	Ubuntu:noble:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/n/ndctl/libdaxctl1_77-2ubuntu2_amd64.deb	21404	c6629b49c79343fb11ae404aeaa3156f051168da6c6d3d9d8d516acd94705061	apt-closure
libdb5.3t64	5.3.28+dfsg2-7	amd64	Ubuntu:noble:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/d/db5.3/libdb5.3t64_5.3.28%2bdfsg2-7_amd64.deb	734100	a78a25c8fad8fdd0b7bc6b297da5d5685579be1e57732aa47870830e4a13161e	apt-closure
