package	version	architecture	source	package_url	size	sha256	requested_by
default-libmysqlclient-dev	1.1.0build1	amd64	Ubuntu:noble:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/m/mysql-defaults/default-libmysqlclient-dev_1.1.0build1_amd64.deb	3132	d8c4cdbcff7970e913f54207405744beb94a53220979f6136bc95c0725d6531f	apt-closure
dhcpcd-base	1:10.0.6-1ubuntu3.2	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/d/dhcpcd/dhcpcd-base_10.0.6-1ubuntu3.2_amd64.deb	215178	606672ce6eec804b6490e261c0afd77bfeedf73ff29aab165a464e1e8df43a43	apt-closure
dictionaries-common	1.29.7	all	Ubuntu:noble:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/d/dictionaries-common/dictionaries-common_1.29.7_all.deb	187642	601e7cb4d662aca433785eaafd8094e51b1386aab5f5aef6572a1a565b80f21e	apt-closure
diffutils	1:3.10-1build1	amd64	Ubuntu:noble:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/d/diffutils/diffutils_3.10-1build1_amd64.deb	176846	f9b8ff6528114ba4c6a9ec94570c838a266f9f196969ae08f310725fa830d958	apt-closure
dirmngr	2.4.4-2ubuntu17.4	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/g/gnupg2/dirmngr_2.4.4-2ubuntu17.4_amd64.deb	323242	4155be4f35ffc177ddf0282a635ebdbfd555ebb0dd3b6d8e7fd736e1fcedec0b	apt-closure
distro-info	1.7build1	amd64	Ubuntu:noble:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/d/distro-info/distro-info_1.7build1_amd64.deb	19874	e93fb6f8e178de630c64abe15982d1695f6dadbd6b36617dc08cbda1b72b223c	apt-closure
distro-info-data	0.72-0ubuntu0.24.04.1	all	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/d/distro-info-data/distro-info-data_0.72-0ubuntu0.24.04.1_all.deb	7598	c4f7d3a00f67d7a8cfe67e2f12a85b483183b3c80e380851c6200cc18cdbaf4d	apt-closure
dmeventd	2:1.02.185-3ubuntu3.2	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/l/lvm2/dmeventd_1.02.185-3ubuntu3.2_amd64.deb	37964	9681c525c8fe73c06b8d01b903654f89e8d6486bab71574862d1fb2f2d4aaf07	apt-closure
dmidecode	3.5-3ubuntu0.1	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/d/dmidecode/dmidecode_3.5-3ubuntu0.1_amd64.deb	73004	4d837b0919d0288ad936c393d67942479c0cc5f216273b940f1479eb23f6dd4b	apt-closure
dmsetup	2:1.02.185-3ubuntu3.2	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/l/lvm2/dmsetup_1.02.185-3ubuntu3.2_amd64.deb	79182	25619bad426e6ea795bf441c929f3c444ddf15c08740841ccc214951ce7ab6f8	apt-closure
dnsutils	1:9.18.39-0ubuntu0.24.04.5	all	Ubuntu:noble-updates:universe:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/universe/b/bind9/dnsutils_9.18.39-0ubuntu0.24.04.5_all.deb	3686	8678685cb44510183516fc018c0d0656cb2b4b8b797d0a22c1bf6e64b036977e	apt-closure
docker-buildx	0.30.1-0ubuntu1~24.04.1	amd64	Ubuntu:noble-updates:universe:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/universe/d/docker-buildx/docker-buildx_0.30.1-0ubuntu1%7e24.04.1_amd64.deb	16802158	30723359cf4825afa5ac2087cf5833163f80fb74802bc32e0ed6c9efc13e4b3c	apt-closure
docker-compose-v2	2.40.3+ds1-0ubuntu1~24.04.1	amd64	Ubuntu:noble-updates:universe:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/universe/d/docker-compose-v2/docker-compose-v2_2.40.3%2bds1-0ubuntu1%7e24.04.1_amd64.deb	14788638	192f3df16d0c832e1cbf2362889da56522267835cfb19541241b3dd0ed964039	apt-closure
docker.io	29.1.3-0ubuntu3~24.04.2	amd64	Ubuntu:noble-updates:universe:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/universe/d/docker.io-app/docker.io_29.1.3-0ubuntu3%7e24.04.2_amd64.deb	35558504	bd5c22d42d4ce3021958b7a8d627701597f61a1a9867ba83fe3c841f04991e3a	apt-closure
dosfstools	4.2-1.1build1	amd64	Ubuntu:noble:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/d/dosfstools/dosfstools_4.2-1.1build1_amd64.deb	86256	ace1ecc42b4d842f8e7a931933824a626dcdb7d4916470833f330ccad82afd63	apt-closure
dpkg	1.22.6ubuntu6.6	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/d/dpkg/dpkg_1.22.6ubuntu6.6_amd64.deb	1282284	ceb6aa4da59fbcb8a3b0549b4280c60b7d849b519859797c8668bdfbe378fb3b	apt-closure
dpkg-dev	1.22.6ubuntu6.6	all	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/d/dpkg/dpkg-dev_1.22.6ubuntu6.6_all.deb	1074218	70da073557dbed76dc14eb1e682e7ec30fcb736f3d98812490a4c785b4c481cb	apt-closure
dracut-install	060+5-1ubuntu3.3	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/d/dracut/dracut-install_060%2b5-1ubuntu3.3_amd64.deb	32280	41b69e7c48bfd556ee15978699a5637a39bc034e5e82b5f8a462d0a69e4fcc19	apt-closure
e2fsprogs	1.47.0-2.4~exp1ubuntu4.1	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/e/e2fsprogs/e2fsprogs_1.47.0-2.4%7eexp1ubuntu4.1_amd64.deb	600736	1d0fb19dcf14316d04602260871dba3c1441c0ecf3c3bde54eacba35dcc5a40b	apt-closure
elixir	1.14.0.dfsg-2	amd64	Ubuntu:noble:universe:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/universe/e/elixir-lang/elixir_1.14.0.dfsg-2_amd64.deb	4684684	08b272147f21c47e650f9092d03738a65c0de05f6352e9d053a2a106e4f1b968	apt-closure
emacsen-common	3.0.5	all	Ubuntu:noble:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/e/emacsen-common/emacsen-common_3.0.5_all.deb	12116	d802bbf9167ad1d8aa633b65684439e08672379f15bf752662d7fd7b9798dce1	apt-closure
emscripten	3.1.6~dfsg-7	all	Ubuntu:noble:universe:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/universe/e/emscripten/emscripten_3.1.6%7edfsg-7_all.deb	93235030	b3583e5659616bdd3dceac5cd6835fb63374a0dc661d7788c0e2bd7bff25656e	apt-closure
erlang	1:25.3.2.8+dfsg-1ubuntu4.6	all	Ubuntu:noble-updates:universe:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/universe/e/erlang/erlang_25.3.2.8%2bdfsg-1ubuntu4.6_all.deb	17408	ef8fb0f2742aa939bd7011ab89053213c822a6f6f6896f6552e7df23bb9b9323	apt-closure
erlang-asn1	1:25.3.2.8+dfsg-1ubuntu4.6	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/e/erlang/erlang-asn1_25.3.2.8%2bdfsg-1ubuntu4.6_amd64.deb	911452	750cd89b580844cb2b0a37b0103f9118e4e0201b87114a185ad7c2a9ade21be2	apt-closure
erlang-base	1:25.3.2.8+dfsg-1ubuntu4.6	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/e/erlang/erlang-base_25.3.2.8%2bdfsg-1ubuntu4.6_amd64.deb	10166238	eaab11964cc2e5ee49f706d4c08cccfb9762be33f85f8c29eecc354baf803d16	apt-closure
erlang-common-test	1:25.3.2.8+dfsg-1ubuntu4.6	amd64	Ubuntu:noble-updates:universe:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/universe/e/erlang/erlang-common-test_25.3.2.8%2bdfsg-1ubuntu4.6_amd64.deb	1235862	7e47a3f3dd2937b87932982c869e9b4149c436f33ee743d3f0f69d83dd1c4793	apt-closure
erlang-crypto	1:25.3.2.8+dfsg-1ubuntu4.6	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/e/erlang/erlang-crypto_25.3.2.8%2bdfsg-1ubuntu4.6_amd64.deb	162262	d14c40604c6720a12cccb3cb3203e81d48a81de68e66db38be48b4f43a9f9249	apt-closure
erlang-debugger	1:25.3.2.8+dfsg-1ubuntu4.6	amd64	Ubuntu:noble-updates:universe:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/universe/e/erlang/erlang-debugger_25.3.2.8%2bdfsg-1ubuntu4.6_amd64.deb	470426	7f27c3aa67d186aa41feb0a73b93e9ad5868c7c4ca3d82c2bbe23e82a796a9a5	apt-closure
erlang-dev	1:25.3.2.8+dfsg-1ubuntu4.6	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/e/erlang/erlang-dev_25.3.2.8%2bdfsg-1ubuntu4.6_amd64.deb	314476	e8cc002db441d336a10385a36a2e95d8e0027a52f51e3146e226da74cbde736c	apt-closure
erlang-dialyzer	1:25.3.2.8+dfsg-1ubuntu4.6	amd64	Ubuntu:noble-updates:universe:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/universe/e/erlang/erlang-dialyzer_25.3.2.8%2bdfsg-1ubuntu4.6_amd64.deb	1091092	9a9663516e5cd3f5ffbc620bb0589215842143bfa873e71f0b111236e162f9d6	apt-closure
